similarity,combination
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'TestAddress.sol']
7,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'TokenTimelock.sol']
3,['Migrations.sol', 'SeeleCrowdSale.sol', 'SeeleToken.sol']
8,['Migrations.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['Migrations.sol', 'TestAddress.sol', 'TokenTimelock.sol']
2,['Migrations.sol', 'TestAddress.sol', 'SeeleToken.sol']
8,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
8,['Migrations.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
4,['Migrations.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
7,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
3,['SeeleCrowdSale.sol', 'TestAddress.sol', 'TokenTimelock.sol']
4,['SeeleCrowdSale.sol', 'TestAddress.sol', 'SeeleToken.sol']
7,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
7,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['SeeleCrowdSale.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
7,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
8,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
4,['TestAddress.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
8,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol', 'SeeleToken.sol']
