similarity,combination
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flap.t.sol', 'vat.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flap.t.sol', 'jug.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flap.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vat.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'vat.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'jug.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flip.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'pit.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'move.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'vat.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vow.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'pit.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'move.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'vat.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'flop.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'flap.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'jug.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flip.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'move.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'vat.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'cat.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'flap.t.sol']
1,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'pit.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'move.sol', 'vat.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'move.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'move.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'move.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'move.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'move.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'move.sol', 'jug.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'move.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vat.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vat.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vat.sol', 'cat.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vat.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vat.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vat.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'vat.sol', 'flap.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flop.t.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'flip.sol', 'flop.t.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'flip.sol', 'flop.t.sol', 'flap.t.sol']
