similarity,combination
2,['Ownable.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
7,['Ownable.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'StandardTokenMock.sol', 'Token223.sol']
3,['Ownable.sol', 'StandardToken.sol', 'ERC223.sol']
13,['Ownable.sol', 'StandardToken.sol', 'LinkToken.sol']
3,['Ownable.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
10,['Ownable.sol', 'StandardToken.sol', 'BasicToken.sol']
9,['Ownable.sol', 'StandardToken.sol', 'ERC20.sol']
15,['Ownable.sol', 'StandardToken.sol', 'Token223.sol']
3,['Ownable.sol', 'ERC223.sol', 'LinkToken.sol']
2,['Ownable.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
8,['Ownable.sol', 'ERC223.sol', 'BasicToken.sol']
3,['Ownable.sol', 'ERC223.sol', 'ERC20.sol']
3,['Ownable.sol', 'ERC223.sol', 'Token223.sol']
2,['Ownable.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['Ownable.sol', 'LinkToken.sol', 'ERC20.sol']
3,['Ownable.sol', 'LinkToken.sol', 'Token223.sol']
1,['Ownable.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
7,['Ownable.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['Ownable.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['Ownable.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['Ownable.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['Ownable.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['Ownable.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
5,['Ownable.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Ownable.sol', 'BasicToken.sol', 'Token223.sol']
6,['Ownable.sol', 'ERC20.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'Standard223Receiver.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'Token223Receiver.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'StandardTokenMock.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'ERC223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'LinkToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'Token223.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'Token223Receiver.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223.sol']
7,['SafeMath.sol', 'LinkReceiver.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkReceiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'LinkReceiver.sol', 'Token223.sol']
3,['SafeMath.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'Token223Receiver.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
6,['SafeMath.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
2,['SafeMath.sol', 'Standard223Receiver.sol', 'ERC223.sol']
8,['SafeMath.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
3,['SafeMath.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'Standard223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'Standard223Receiver.sol', 'Token223.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'Token223Receiver.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
8,['SafeMath.sol', 'ERC20Basic.sol', 'StandardToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'LinkToken.sol']
2,['SafeMath.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'ERC20Basic.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC20Basic.sol', 'Token223.sol']
1,['SafeMath.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol']
1,['SafeMath.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol']
6,['SafeMath.sol', 'Token223Receiver.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'Token223Receiver.sol', 'ERC223.sol']
3,['SafeMath.sol', 'Token223Receiver.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'Token223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Token223Receiver.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Token223Receiver.sol', 'Token223.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
7,['SafeMath.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'BasicTokenMock.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicTokenMock.sol', 'Token223.sol']
7,['SafeMath.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'StandardTokenMock.sol', 'ERC20.sol']
1,['SafeMath.sol', 'StandardTokenMock.sol', 'Token223.sol']
7,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol']
9,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'StandardToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'ERC223.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['SafeMath.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'ERC223.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC223.sol', 'ERC20.sol']
1,['SafeMath.sol', 'ERC223.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'ERC223Receiver.sol', 'ERC20.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['SafeMath.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['SafeMath.sol', 'BasicToken.sol', 'ERC20.sol']
1,['SafeMath.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'ERC20.sol', 'Token223.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol']
11,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
6,['Standard223Token.sol', 'LinkReceiver.sol', 'StandardToken.sol']
4,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223.sol']
6,['Standard223Token.sol', 'LinkReceiver.sol', 'LinkToken.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
3,['Standard223Token.sol', 'LinkReceiver.sol', 'Token223ReceiverMock.sol']
9,['Standard223Token.sol', 'LinkReceiver.sol', 'BasicToken.sol']
9,['Standard223Token.sol', 'LinkReceiver.sol', 'ERC20.sol']
5,['Standard223Token.sol', 'LinkReceiver.sol', 'Token223.sol']
4,['Standard223Token.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'Token223Receiver.sol']
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
2,['Standard223Token.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
5,['Standard223Token.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
