similarity,combination
2,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Finalizable.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'EventDefinitions.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'DummyToken.sol']
6,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Ledger.sol']
3,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol', 'Migrations.sol']
4,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol', 'TokenReceivable.sol']
3,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol', 'SafeMath.sol']
3,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol', 'Finalizable.sol']
3,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol', 'EventDefinitions.sol']
3,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol', 'DummyToken.sol']
9,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Token.sol', 'Ledger.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Migrations.sol', 'TokenReceivable.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol']
2,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Migrations.sol', 'Finalizable.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Migrations.sol', 'EventDefinitions.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Migrations.sol', 'DummyToken.sol']
5,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Migrations.sol', 'Ledger.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'TokenReceivable.sol', 'SafeMath.sol']
2,['ControllerEventDefinitions.sol', 'Pausable.sol', 'TokenReceivable.sol', 'Finalizable.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'TokenReceivable.sol', 'DummyToken.sol']
5,['ControllerEventDefinitions.sol', 'Pausable.sol', 'TokenReceivable.sol', 'Ledger.sol']
2,['ControllerEventDefinitions.sol', 'Pausable.sol', 'SafeMath.sol', 'Finalizable.sol']
2,['ControllerEventDefinitions.sol', 'Pausable.sol', 'SafeMath.sol', 'EventDefinitions.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'SafeMath.sol', 'DummyToken.sol']
5,['ControllerEventDefinitions.sol', 'Pausable.sol', 'SafeMath.sol', 'Ledger.sol']
2,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Finalizable.sol', 'EventDefinitions.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Finalizable.sol', 'DummyToken.sol']
5,['ControllerEventDefinitions.sol', 'Pausable.sol', 'Finalizable.sol', 'Ledger.sol']
1,['ControllerEventDefinitions.sol', 'Pausable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['ControllerEventDefinitions.sol', 'Pausable.sol', 'EventDefinitions.sol', 'Ledger.sol']
4,['ControllerEventDefinitions.sol', 'Pausable.sol', 'DummyToken.sol', 'Ledger.sol']
2,['ControllerEventDefinitions.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol']
3,['ControllerEventDefinitions.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol']
3,['ControllerEventDefinitions.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol']
3,['ControllerEventDefinitions.sol', 'Owned.sol', 'Token.sol', 'Finalizable.sol']
3,['ControllerEventDefinitions.sol', 'Owned.sol', 'Token.sol', 'EventDefinitions.sol']
