similarity,combination
3,['Migrations.sol', 'SeeleCrowdSale.sol']
1,['Migrations.sol', 'TestAddress.sol']
8,['Migrations.sol', 'SeeleCrowdSaleFlat.sol']
2,['Migrations.sol', 'TokenTimelock.sol']
1,['Migrations.sol', 'SeeleToken.sol']
3,['SeeleCrowdSale.sol', 'TestAddress.sol']
6,['SeeleCrowdSale.sol', 'SeeleCrowdSaleFlat.sol']
3,['SeeleCrowdSale.sol', 'TokenTimelock.sol']
3,['SeeleCrowdSale.sol', 'SeeleToken.sol']
8,['TestAddress.sol', 'SeeleCrowdSaleFlat.sol']
1,['TestAddress.sol', 'TokenTimelock.sol']
2,['TestAddress.sol', 'SeeleToken.sol']
8,['SeeleCrowdSaleFlat.sol', 'TokenTimelock.sol']
8,['SeeleCrowdSaleFlat.sol', 'SeeleToken.sol']
3,['TokenTimelock.sol', 'SeeleToken.sol']
