similarity,combination
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'vat.t.sol', 'lib.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'fork.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'fork.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'jug.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'dai.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'flop.t.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol', 'dai.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'flip.t.sol', 'vat.sol', 'jug.sol', 'cat.sol', 'dai.sol', 'fork.t.sol', 'flap.t.sol', 'vat.t.sol', 'lib.sol', 'jug.t.sol', 'flap.sol']
