similarity,combination
11,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardToken.sol', 'Token677.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'StandardToken.sol', 'ERC20.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
2,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'Token677.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'ERC20.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
20,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol', 'BasicToken.sol']
24,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol', 'Token677.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol', 'ERC20.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicToken.sol', 'Token677.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'BasicToken.sol', 'ERC20.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'ERC677.sol', 'Token677.sol', 'ERC20.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
24,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
8,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'Token677.sol']
7,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
23,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
27,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'Token677.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
23,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
24,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
27,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
24,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
25,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'Token677.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
27,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
23,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'Token677.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'ERC677Receiver.sol', 'ERC20.sol']
16,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
28,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token677.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol', 'Token677.sol']
9,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'Token677.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
10,['SafeMath.sol', 'ERC677Token.sol', 'ERC20Basic.sol', 'Token677.sol', 'ERC20.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
