similarity,combination
4,['ERC677Token.sol', 'LinkReceiver.sol']
2,['ERC677Token.sol', 'ERC677.sol']
5,['ERC677Token.sol', 'linkERC20.sol']
6,['ERC677Token.sol', 'linkSafeMath.sol']
5,['ERC677Token.sol', 'BasicTokenMock.sol']
4,['ERC677Token.sol', 'StandardTokenMock.sol']
3,['ERC677Token.sol', 'Token677ReceiverMock.sol']
5,['ERC677Token.sol', 'linkBasicToken.sol']
3,['ERC677Token.sol', 'ERC677Receiver.sol']
11,['ERC677Token.sol', 'linkERC20Basic.sol']
11,['ERC677Token.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'linkStandardToken.sol']
1,['ERC677Token.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'Token677.sol']
57,['ERC677Token.sol', 'flattened.sol']
3,['LinkReceiver.sol', 'ERC677.sol']
4,['LinkReceiver.sol', 'linkERC20.sol']
1,['LinkReceiver.sol', 'linkSafeMath.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol']
2,['LinkReceiver.sol', 'Token677ReceiverMock.sol']
4,['LinkReceiver.sol', 'linkBasicToken.sol']
2,['LinkReceiver.sol', 'ERC677Receiver.sol']
6,['LinkReceiver.sol', 'linkERC20Basic.sol']
3,['LinkReceiver.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'linkStandardToken.sol']
3,['LinkReceiver.sol', 'NotERC677Compatible.sol']
3,['LinkReceiver.sol', 'Token677.sol']
72,['LinkReceiver.sol', 'flattened.sol']
7,['ERC677.sol', 'linkERC20.sol']
4,['ERC677.sol', 'linkSafeMath.sol']
3,['ERC677.sol', 'BasicTokenMock.sol']
3,['ERC677.sol', 'StandardTokenMock.sol']
4,['ERC677.sol', 'Token677ReceiverMock.sol']
6,['ERC677.sol', 'linkBasicToken.sol']
4,['ERC677.sol', 'ERC677Receiver.sol']
8,['ERC677.sol', 'linkERC20Basic.sol']
7,['ERC677.sol', 'LinkToken.sol']
6,['ERC677.sol', 'linkStandardToken.sol']
1,['ERC677.sol', 'NotERC677Compatible.sol']
4,['ERC677.sol', 'Token677.sol']
87,['ERC677.sol', 'flattened.sol']
2,['linkERC20.sol', 'linkSafeMath.sol']
5,['linkERC20.sol', 'BasicTokenMock.sol']
5,['linkERC20.sol', 'StandardTokenMock.sol']
6,['linkERC20.sol', 'Token677ReceiverMock.sol']
4,['linkERC20.sol', 'linkBasicToken.sol']
5,['linkERC20.sol', 'ERC677Receiver.sol']
4,['linkERC20.sol', 'linkERC20Basic.sol']
6,['linkERC20.sol', 'LinkToken.sol']
6,['linkERC20.sol', 'linkStandardToken.sol']
5,['linkERC20.sol', 'NotERC677Compatible.sol']
5,['linkERC20.sol', 'Token677.sol']
84,['linkERC20.sol', 'flattened.sol']
1,['linkSafeMath.sol', 'BasicTokenMock.sol']
1,['linkSafeMath.sol', 'StandardTokenMock.sol']
1,['linkSafeMath.sol', 'Token677ReceiverMock.sol']
1,['linkSafeMath.sol', 'linkBasicToken.sol']
1,['linkSafeMath.sol', 'ERC677Receiver.sol']
3,['linkSafeMath.sol', 'linkERC20Basic.sol']
2,['linkSafeMath.sol', 'LinkToken.sol']
1,['linkSafeMath.sol', 'linkStandardToken.sol']
2,['linkSafeMath.sol', 'NotERC677Compatible.sol']
3,['linkSafeMath.sol', 'Token677.sol']
79,['linkSafeMath.sol', 'flattened.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol']
1,['BasicTokenMock.sol', 'Token677ReceiverMock.sol']
3,['BasicTokenMock.sol', 'linkBasicToken.sol']
3,['BasicTokenMock.sol', 'ERC677Receiver.sol']
7,['BasicTokenMock.sol', 'linkERC20Basic.sol']
4,['BasicTokenMock.sol', 'LinkToken.sol']
3,['BasicTokenMock.sol', 'linkStandardToken.sol']
1,['BasicTokenMock.sol', 'NotERC677Compatible.sol']
2,['BasicTokenMock.sol', 'Token677.sol']
78,['BasicTokenMock.sol', 'flattened.sol']
1,['StandardTokenMock.sol', 'Token677ReceiverMock.sol']
4,['StandardTokenMock.sol', 'linkBasicToken.sol']
4,['StandardTokenMock.sol', 'ERC677Receiver.sol']
7,['StandardTokenMock.sol', 'linkERC20Basic.sol']
4,['StandardTokenMock.sol', 'LinkToken.sol']
4,['StandardTokenMock.sol', 'linkStandardToken.sol']
1,['StandardTokenMock.sol', 'NotERC677Compatible.sol']
2,['StandardTokenMock.sol', 'Token677.sol']
87,['StandardTokenMock.sol', 'flattened.sol']
4,['Token677ReceiverMock.sol', 'linkBasicToken.sol']
3,['Token677ReceiverMock.sol', 'ERC677Receiver.sol']
7,['Token677ReceiverMock.sol', 'linkERC20Basic.sol']
3,['Token677ReceiverMock.sol', 'LinkToken.sol']
3,['Token677ReceiverMock.sol', 'linkStandardToken.sol']
3,['Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
3,['Token677ReceiverMock.sol', 'Token677.sol']
82,['Token677ReceiverMock.sol', 'flattened.sol']
4,['linkBasicToken.sol', 'ERC677Receiver.sol']
4,['linkBasicToken.sol', 'linkERC20Basic.sol']
7,['linkBasicToken.sol', 'LinkToken.sol']
5,['linkBasicToken.sol', 'linkStandardToken.sol']
5,['linkBasicToken.sol', 'NotERC677Compatible.sol']
9,['linkBasicToken.sol', 'Token677.sol']
64,['linkBasicToken.sol', 'flattened.sol']
7,['ERC677Receiver.sol', 'linkERC20Basic.sol']
5,['ERC677Receiver.sol', 'LinkToken.sol']
3,['ERC677Receiver.sol', 'linkStandardToken.sol']
7,['ERC677Receiver.sol', 'NotERC677Compatible.sol']
1,['ERC677Receiver.sol', 'Token677.sol']
90,['ERC677Receiver.sol', 'flattened.sol']
8,['linkERC20Basic.sol', 'LinkToken.sol']
11,['linkERC20Basic.sol', 'linkStandardToken.sol']
4,['linkERC20Basic.sol', 'NotERC677Compatible.sol']
7,['linkERC20Basic.sol', 'Token677.sol']
86,['linkERC20Basic.sol', 'flattened.sol']
10,['LinkToken.sol', 'linkStandardToken.sol']
5,['LinkToken.sol', 'NotERC677Compatible.sol']
8,['LinkToken.sol', 'Token677.sol']
57,['LinkToken.sol', 'flattened.sol']
3,['linkStandardToken.sol', 'NotERC677Compatible.sol']
12,['linkStandardToken.sol', 'Token677.sol']
60,['linkStandardToken.sol', 'flattened.sol']
1,['NotERC677Compatible.sol', 'Token677.sol']
93,['NotERC677Compatible.sol', 'flattened.sol']
81,['Token677.sol', 'flattened.sol']
