similarity,combination
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol', 'Token223.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol', 'ERC223.sol']
19,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol', 'LinkToken.sol']
16,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
16,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
16,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol', 'ERC20.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol', 'Token223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223.sol', 'LinkToken.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223.sol', 'ERC223Receiver.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223.sol', 'Token223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'LinkToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'LinkToken.sol', 'Token223.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
